n12,m3456,k12,N,M,K,Class
"(0, 1)","(1, 0, 0, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1, 1, 1)","(0, 0, 0, 0, 1, 1)",II-iii
"(0, 1)","(1, 0, 0, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 0, 0)",II-iii
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",II-iii
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",IV-i
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 0, 0)",IV-iii.1
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 1, 1)",IV-iii.1
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",IV-i
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1, 1, 1)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1, 1, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1, 1, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1, 1, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0, 1, 1)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0, 1, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0, 1, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0, 1, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0, 1, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 0, 1, 1)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 0, 1)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 0, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 0, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 0, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 0, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 0, 1)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 0)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 0)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 0)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 0, 1, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 0)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",IV-i
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",IV-iii.1
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",IV-iii.1
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",IV-i
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 1)","(1, 1, 0, 1)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)",II-iii
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",II-iii
"(0, 1)","(1, 1, 0, 1)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(1, 1, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 0, 1)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 1, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(1, 1, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(1, 1, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 1, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 0)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",IV-i
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",IV-iii.1
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",IV-iii.1
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",IV-i
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 1)","(1, 1, 1, 0)","(0, 0)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)",II-iii
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",II-iii
"(0, 1)","(1, 1, 1, 0)","(1, 1)","(0, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",II-iii
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",II-iii
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",IV-i
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)",IV-iii.1
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",IV-iii.1
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",IV-i
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(1, 1, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(1, 0, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(0, 1, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 0, 1)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 1, 0)","(0, 0, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)",II-i
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 0, 0, 1, 1)",II-iii
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 0, 0)",II-iii
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 0, 0, 0, 0)","(1, 1, 1, 1, 1, 1)",II-i
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 0, 0, 0, 0)",IV-i
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 0, 0, 1, 1)",IV-iii.1
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(0, 0, 1, 1, 0, 0)",IV-iii.1
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 0, 1, 1, 1, 1)","(1, 1, 1, 1, 1, 1)",IV-i
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 1, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(0, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 0, 1, 1, 1)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 0, 1, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 1, 1, 0, 0, 1)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(0, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(1, 0, 0, 0, 0, 0)",IV-ii.2
"(0, 1)","(0, 0, 1, 0)","(1, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 1, 1, 1, 1, 1)",IV-ii.2
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 0, 1, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(1, 1)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 0, 1, 1)","(0, 0, 1, 0, 1, 0)",IV-iii.3
"(0, 1)","(0, 0, 1, 0)","(0, 0)","(1, 0, 0, 0, 0, 0)","(0, 1, 1, 1, 0, 1)","(1, 1, 0, 1, 0, 1)",IV-iii.3
