code_solution_index,n12,m3456,k12,l3456,N,M,K,L,mapped_stefan_index
39,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 0, 0, 1)","(0, 1, 0, 0, 0, 1)","(0, 0, 1, 0, 1, 0)",UNMATCHED
40,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 0, 0, 0, 1, 0)","(0, 0, 1, 1, 0, 0)","(0, 1, 0, 0, 0, 1)","(0, 0, 1, 1, 0, 0)",UNMATCHED
41,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(0, 0, 1, 1, 0, 0)",52
42,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 1, 0, 0, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 1, 1, 0)",35
43,"(1, 1)","(1, 1, 1, 1)","(1, 0)","(1, 0, 1, 1)","(0, 1, 0, 0, 1, 0)","(0, 0, 0, 1, 1, 0)","(0, 0, 0, 1, 0, 0)","(0, 1, 0, 0, 0, 0)",19
44,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 1, 0, 0, 0, 1)","(1, 0, 1, 0, 0, 0)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 1, 0, 1)",41
45,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 1, 0, 1, 0)","(0, 0, 0, 1, 0, 1)",51
46,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(0, 1, 0, 0, 1, 0)","(1, 0, 0, 0, 0, 1)","(1, 0, 1, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",42
47,"(1, 1)","(1, 1, 0, 0)","(1, 1)","(1, 1, 0, 0)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)","(1, 1, 0, 0, 0, 0)","(0, 0, 0, 0, 1, 1)",36
48,"(1, 1)","(1, 1, 1, 1)","(1, 1)","(1, 1, 1, 1)","(1, 0, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 1)","(1, 0, 0, 1, 0, 0)","(1, 0, 0, 0, 0, 1)",26
